Geographic Area Name,Estimate!!Total!!Households,Estimate!!Households receiving food stamps/SNAP!!Households,Estimate!!Households not receiving food stamps/SNAP!!Households
"Oklahoma County, Oklahoma",324819,50374,274445
"Payne County, Oklahoma",31537,3866,27671
"Pottawatomie County, Oklahoma",26650,3946,22704
"Rogers County, Oklahoma",35815,3598,32217
"Tulsa County, Oklahoma",270263,32775,237488
"Wagoner County, Oklahoma",30502,2620,27882
"Benton County, Oregon",39350,4410,34940
"Clackamas County, Oregon",161945,16277,145668
"Deschutes County, Oregon",83763,7805,75958
"Douglas County, Oregon",45981,8809,37172
"Jackson County, Oregon",90817,14745,76072
"Josephine County, Oregon",36755,9078,27677
"Klamath County, Oregon",28888,7068,21820
"Lane County, Oregon",160158,31251,128907
"Linn County, Oregon",51347,10084,41263
"Marion County, Oregon",124719,26098,98621
"Multnomah County, Oregon",348216,56217,291999
"Polk County, Oregon",33425,6402,27023
"Umatilla County, Oregon",27247,6491,20756
"Washington County, Oregon",233615,25318,208297
"Yamhill County, Oregon",38988,4967,34021
"Adams County, Pennsylvania",39986,2686,37300
"Allegheny County, Pennsylvania",545892,70133,475759
"Armstrong County, Pennsylvania",27796,3938,23858
"Beaver County, Pennsylvania",71450,10707,60743
"Berks County, Pennsylvania",164312,26045,138267
"Blair County, Pennsylvania",49795,7594,42201
"Bucks County, Pennsylvania",248122,19684,228438
"Butler County, Pennsylvania",81220,6622,74598
"Cambria County, Pennsylvania",55283,9556,45727
"Carbon County, Pennsylvania",26810,5173,21637
"Centre County, Pennsylvania",57518,4107,53411
"Chester County, Pennsylvania",204047,10600,193447
"Clearfield County, Pennsylvania",31570,4521,27049
"Crawford County, Pennsylvania",32896,5879,27017
"Cumberland County, Pennsylvania",104768,8309,96459
"Dauphin County, Pennsylvania",120423,13625,106798
"Delaware County, Pennsylvania",218280,28815,189465
"Erie County, Pennsylvania",110561,21657,88904
"Fayette County, Pennsylvania",55986,12013,43973
"Franklin County, Pennsylvania",62081,6006,56075
"Indiana County, Pennsylvania",32956,4794,28162
"Lackawanna County, Pennsylvania",88294,15629,72665
"Lancaster County, Pennsylvania",210063,20478,189585
"Lawrence County, Pennsylvania",36286,7427,28859
"Lebanon County, Pennsylvania",54906,7593,47313
"Lehigh County, Pennsylvania",141505,19831,121674
"Luzerne County, Pennsylvania",134132,23291,110841
"Lycoming County, Pennsylvania",47022,7207,39815
"Mercer County, Pennsylvania",46701,6972,39729
"Monroe County, Pennsylvania",65907,9396,56511
"Montgomery County, Pennsylvania",335248,22629,312619
"Northampton County, Pennsylvania",122615,12247,110368
"Northumberland County, Pennsylvania",37823,6728,31095
"Philadelphia County, Pennsylvania",660921,176962,483959
"Schuylkill County, Pennsylvania",58212,10030,48182
